truth,1,1,0.277350098112615
truth,1,2,0
truth,1,3,0
truth,1,4,0
truth,1,5,0.277350098112615
truth,1,6,0.277350098112615
truth,1,7,0.277350098112615
truth,1,8,0.277350098112615
truth,1,9,0.277350098112615
truth,1,10,0.277350098112615
truth,1,11,0.277350098112615
truth,1,12,0.277350098112615
truth,1,13,0
truth,1,14,0
truth,1,15,0
truth,1,16,0.277350098112615
truth,1,17,0.277350098112615
truth,1,18,0
truth,1,19,0.277350098112615
truth,1,20,0.277350098112615
truth,2,1,0
truth,2,2,0.377964473009227
truth,2,3,0.377964473009227
truth,2,4,0.377964473009227
truth,2,5,0
truth,2,6,0
truth,2,7,0
truth,2,8,0
truth,2,9,0
truth,2,10,0
truth,2,11,0
truth,2,12,0
truth,2,13,0.377964473009227
truth,2,14,0.377964473009227
truth,2,15,0.377964473009227
truth,2,16,0
truth,2,17,0
truth,2,18,0.377964473009227
truth,2,19,0
truth,2,20,0
JisstPCA (oracle),1,1,0.270266384800357
JisstPCA (oracle),1,2,0.0560732692431581
JisstPCA (oracle),1,3,0.0412475853480736
JisstPCA (oracle),1,4,0.0562310737923138
JisstPCA (oracle),1,5,0.280485106671177
JisstPCA (oracle),1,6,0.276527600759408
JisstPCA (oracle),1,7,0.271294404153948
JisstPCA (oracle),1,8,0.26584047158231
JisstPCA (oracle),1,9,0.271223468573347
JisstPCA (oracle),1,10,0.290529726520611
JisstPCA (oracle),1,11,0.270978571896433
JisstPCA (oracle),1,12,0.270952654477996
JisstPCA (oracle),1,13,0.0477999914303035
JisstPCA (oracle),1,14,0.0409311891860035
JisstPCA (oracle),1,15,0.0444937372050756
JisstPCA (oracle),1,16,0.27847347221976
JisstPCA (oracle),1,17,0.282303663735697
JisstPCA (oracle),1,18,0.0256308513871032
JisstPCA (oracle),1,19,0.272651935102191
JisstPCA (oracle),1,20,0.276666204559363
JisstPCA (oracle),2,1,-0.0427888815108525
JisstPCA (oracle),2,2,0.374185578604779
JisstPCA (oracle),2,3,0.394640768712447
JisstPCA (oracle),2,4,0.361332237934442
JisstPCA (oracle),2,5,-0.0229487865502459
JisstPCA (oracle),2,6,-0.0118766547628199
JisstPCA (oracle),2,7,-0.0547996911296421
JisstPCA (oracle),2,8,-0.0243216748641
JisstPCA (oracle),2,9,-0.0468564993930264
JisstPCA (oracle),2,10,-0.0371472781172224
JisstPCA (oracle),2,11,-0.0345924468440598
JisstPCA (oracle),2,12,-0.036751112817475
JisstPCA (oracle),2,13,0.429384469622585
JisstPCA (oracle),2,14,0.355091140974698
JisstPCA (oracle),2,15,0.344570188143426
JisstPCA (oracle),2,16,-0.016692181788998
JisstPCA (oracle),2,17,-0.0365935575306313
JisstPCA (oracle),2,18,0.358426453803089
