"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
1,0,5,1,"G-JisstPCA0 (oracle)","u",1,0.0827980108505578
1,0,5,1,"G-JisstPCA0 (oracle)","V",1,0.0708982109774558
1,0,5,1,"G-JisstPCA0 (oracle)","W",1,0.0787978648577781
1,0,5,1,"G-JisstPCA0 (oracle)","u",2,0.180971909681775
1,0,5,1,"G-JisstPCA0 (oracle)","V",2,0.12260728722376
1,0,5,1,"G-JisstPCA0 (oracle)","W",2,0.165119388680179
1,0,5,1,"JisstPCA1 (BIC)","u",1,0.0826897577140714
1,0,5,1,"JisstPCA1 (BIC)","V",1,0.0709366169333897
1,0,5,1,"JisstPCA1 (BIC)","W",1,0.0787911609450871
1,0,5,1,"JisstPCA1 (BIC)","u",2,0.210030049956341
1,0,5,1,"JisstPCA1 (BIC)","V",2,0.286533834833529
1,0,5,1,"JisstPCA1 (BIC)","W",2,0.524395787332314
1,0,5,1,"JisstPCA1 (oracle)","u",1,0.0826897577140714
1,0,5,1,"JisstPCA1 (oracle)","V",1,0.0709366169333897
1,0,5,1,"JisstPCA1 (oracle)","W",1,0.0787911609450871
1,0,5,1,"JisstPCA1 (oracle)","u",2,0.210030049956341
1,0,5,1,"JisstPCA1 (oracle)","V",2,0.286533834833529
1,0,5,1,"JisstPCA1 (oracle)","W",2,0.524395787332314
1,0,5,1,"G-JisstPCA1 (BIC)","u",1,0.0827980108505578
1,0,5,1,"G-JisstPCA1 (BIC)","V",1,0.0708982109774558
1,0,5,1,"G-JisstPCA1 (BIC)","W",1,0.0787978648577781
1,0,5,1,"G-JisstPCA1 (BIC)","u",2,0.207798098099584
1,0,5,1,"G-JisstPCA1 (BIC)","V",2,0.28631185070627
1,0,5,1,"G-JisstPCA1 (BIC)","W",2,0.524264035797952
1,0,5,1,"G-JisstPCA1 (oracle)","u",1,0.0827980108505578
1,0,5,1,"G-JisstPCA1 (oracle)","V",1,0.0708982109774558
1,0,5,1,"G-JisstPCA1 (oracle)","W",1,0.0787978648577781
1,0,5,1,"G-JisstPCA1 (oracle)","u",2,0.207798098099584
1,0,5,1,"G-JisstPCA1 (oracle)","V",2,0.28631185070627
1,0,5,1,"G-JisstPCA1 (oracle)","W",2,0.524264035797952
1,0,5,1,"iHOSVD","u",1,0.089752364320362
1,0,5,1,"iHOSVD","V",1,0.132037225886952
1,0,5,1,"iHOSVD","W",1,0.160695099119414
1,0,5,1,"iHOSVD","u",2,0.233828993182594
1,0,5,1,"iHOSVD","V",2,0.430120688844305
1,0,5,1,"iHOSVD","W",2,0.651849869703102
