"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
1,1,5,1,"JisstPCA0 (BIC)","u",1,0.0750307173754905
1,1,5,1,"JisstPCA0 (BIC)","V",1,0.0794601070205186
1,1,5,1,"JisstPCA0 (BIC)","W",1,0.0759112524184333
1,1,5,1,"JisstPCA0 (BIC)","u",2,0.101123187341263
1,1,5,1,"JisstPCA0 (BIC)","V",2,0.0732505897014317
1,1,5,1,"JisstPCA0 (BIC)","W",2,0.086429120104506
1,1,5,1,"JisstPCA0 (oracle)","u",1,0.0750307173754905
1,1,5,1,"JisstPCA0 (oracle)","V",1,0.0794601070205186
1,1,5,1,"JisstPCA0 (oracle)","W",1,0.0759112524184333
1,1,5,1,"JisstPCA0 (oracle)","u",2,0.101123187341263
1,1,5,1,"JisstPCA0 (oracle)","V",2,0.0732505897014317
1,1,5,1,"JisstPCA0 (oracle)","W",2,0.086429120104506
1,1,5,1,"G-JisstPCA0 (BIC)","u",1,0.0750601645947552
1,1,5,1,"G-JisstPCA0 (BIC)","V",1,0.0794472798530331
1,1,5,1,"G-JisstPCA0 (BIC)","W",1,0.0759217638786173
1,1,5,1,"G-JisstPCA0 (BIC)","u",2,0.101753762693457
1,1,5,1,"G-JisstPCA0 (BIC)","V",2,0.0731679682836461
1,1,5,1,"G-JisstPCA0 (BIC)","W",2,0.0865133300986042
1,1,5,1,"G-JisstPCA0 (oracle)","u",1,0.0750601645947552
1,1,5,1,"G-JisstPCA0 (oracle)","V",1,0.0794472798530331
1,1,5,1,"G-JisstPCA0 (oracle)","W",1,0.0759217638786173
1,1,5,1,"G-JisstPCA0 (oracle)","u",2,0.101753762693457
1,1,5,1,"G-JisstPCA0 (oracle)","V",2,0.0731679682836461
1,1,5,1,"G-JisstPCA0 (oracle)","W",2,0.0865133300986042
1,1,5,1,"JisstPCA1 (BIC)","u",1,0.0750307173754905
1,1,5,1,"JisstPCA1 (BIC)","V",1,0.0794601070205186
1,1,5,1,"JisstPCA1 (BIC)","W",1,0.0759112524184333
1,1,5,1,"JisstPCA1 (BIC)","u",2,0.100587658277825
1,1,5,1,"JisstPCA1 (BIC)","V",2,0.0714994932461177
1,1,5,1,"JisstPCA1 (BIC)","W",2,0.0845341001438984
1,1,5,1,"JisstPCA1 (oracle)","u",1,0.0750307173754905
1,1,5,1,"JisstPCA1 (oracle)","V",1,0.0794601070205186
1,1,5,1,"JisstPCA1 (oracle)","W",1,0.0759112524184333
1,1,5,1,"JisstPCA1 (oracle)","u",2,0.100587658277825
1,1,5,1,"JisstPCA1 (oracle)","V",2,0.0714994932461177
1,1,5,1,"JisstPCA1 (oracle)","W",2,0.0845341001438984
1,1,5,1,"G-JisstPCA1 (BIC)","u",1,0.0750601645947552
1,1,5,1,"G-JisstPCA1 (BIC)","V",1,0.0794472798530331
1,1,5,1,"G-JisstPCA1 (BIC)","W",1,0.0759217638786173
1,1,5,1,"G-JisstPCA1 (BIC)","u",2,0.101247310886736
1,1,5,1,"G-JisstPCA1 (BIC)","V",2,0.0714275089782128
1,1,5,1,"G-JisstPCA1 (BIC)","W",2,0.0846522689424957
1,1,5,1,"G-JisstPCA1 (oracle)","u",1,0.0750601645947552
1,1,5,1,"G-JisstPCA1 (oracle)","V",1,0.0794472798530331
1,1,5,1,"G-JisstPCA1 (oracle)","W",1,0.0759217638786173
1,1,5,1,"G-JisstPCA1 (oracle)","u",2,0.101247310886736
1,1,5,1,"G-JisstPCA1 (oracle)","V",2,0.0714275089782128
1,1,5,1,"G-JisstPCA1 (oracle)","W",2,0.0846522689424957
1,1,5,1,"iHOSVD","u",1,0.0772721985299718
1,1,5,1,"iHOSVD","V",1,0.998680328807704
1,1,5,1,"iHOSVD","W",1,0.32706305149555
1,1,5,1,"iHOSVD","u",2,0.108958968829863
1,1,5,1,"iHOSVD","V",2,0.998580842837635
1,1,5,1,"iHOSVD","W",2,0.326825826715172
1,1,5,1,"iHOOI","u",1,0.0762364701444076
1,1,5,1,"iHOOI","V",1,0.987964008991222
1,1,5,1,"iHOOI","W",1,0.314700545299949
1,1,5,1,"iHOOI","u",2,0.102289616273076
1,1,5,1,"iHOOI","V",2,0.987853456249536
1,1,5,1,"iHOOI","W",2,0.31585214254286
1,1,6.25,1,"JisstPCA0 (BIC)","u",1,0.0600531575252495
1,1,6.25,1,"JisstPCA0 (BIC)","V",1,0.0634313555370889
1,1,6.25,1,"JisstPCA0 (BIC)","W",1,0.0602452405963282
1,1,6.25,1,"JisstPCA0 (BIC)","u",2,0.0809465092777948
1,1,6.25,1,"JisstPCA0 (BIC)","V",2,0.0585789669168169
1,1,6.25,1,"JisstPCA0 (BIC)","W",2,0.0694986973221811
1,1,6.25,1,"JisstPCA0 (oracle)","u",1,0.0600531575252495
1,1,6.25,1,"JisstPCA0 (oracle)","V",1,0.0634313555370889
1,1,6.25,1,"JisstPCA0 (oracle)","W",1,0.0602452405963282
1,1,6.25,1,"JisstPCA0 (oracle)","u",2,0.0809465092777948
1,1,6.25,1,"JisstPCA0 (oracle)","V",2,0.0585789669168169
1,1,6.25,1,"JisstPCA0 (oracle)","W",2,0.0694986973221811
1,1,6.25,1,"G-JisstPCA0 (BIC)","u",1,0.0600695326192293
1,1,6.25,1,"G-JisstPCA0 (BIC)","V",1,0.0634256919817827
1,1,6.25,1,"G-JisstPCA0 (BIC)","W",1,0.0602507019163675
1,1,6.25,1,"G-JisstPCA0 (BIC)","u",2,0.0814532858533525
