factor,dim,SNR,seed,iteration,stat_err,optim_loss
V,60,1.5,2,3,0.361877683634616,439439.94559547
W,60,1.5,2,3,0.290200153684485,439439.94559547
u,60,1.5,2,4,0.229402681776917,439439.919250349
V,60,1.5,2,4,0.361949475160225,439439.919250349
W,60,1.5,2,4,0.289636416369667,439439.919250349
u,60,1.5,2,5,0.229403731411457,439439.917712414
V,60,1.5,2,5,0.361988636576772,439439.917712414
W,60,1.5,2,5,0.289502734283844,439439.917712414
u,60,1.5,2,6,0.229403513855349,439439.917612729
V,60,1.5,2,6,0.362002695946555,439439.917612729
W,60,1.5,2,6,0.289469122994856,439439.917612729
u,60,1.5,2,7,0.229403460583877,439439.917605842
V,60,1.5,2,7,0.362007196723844,439439.917605842
W,60,1.5,2,7,0.289460383630905,439439.917605842
u,60,1.5,2,8,0.2294034681114,439439.917605343
V,60,1.5,2,8,0.362008561270225,439439.917605343
W,60,1.5,2,8,0.289458060992513,439439.917605343
u,60,1.5,2,9,0.229403479001686,439439.917605306
V,60,1.5,2,9,0.362008961893626,439439.917605306
W,60,1.5,2,9,0.28945743419856,439439.917605306
u,60,1.5,2,10,0.229403484768087,439439.917605303
V,60,1.5,2,10,0.362009077059165,439439.917605303
W,60,1.5,2,10,0.289457263133811,439439.917605303
u,60,1.5,3,0,0.333542858850094,NaN
u,60,1.5,3,1,0.22083461225837,437490.259113513
V,60,1.5,3,1,0.43604726693285,437490.259113513
W,60,1.5,3,1,0.375061768211137,437490.259113513
u,60,1.5,3,2,0.216131647490473,437467.280117528
V,60,1.5,3,2,0.430301749674013,437467.280117528
W,60,1.5,3,2,0.353915231686208,437467.280117528
u,60,1.5,3,3,0.215531172867573,437466.567141191
V,60,1.5,3,3,0.431253741417386,437466.567141191
W,60,1.5,3,3,0.350921589622794,437466.567141191
u,60,1.5,3,4,0.215392449732074,437466.530562332
V,60,1.5,3,4,0.4316635697972,437466.530562332
W,60,1.5,3,4,0.350233281249381,437466.530562332
u,60,1.5,3,5,0.215355926776162,437466.528363936
V,60,1.5,3,5,0.431793358730184,437466.528363936
W,60,1.5,3,5,0.35005798627914,437466.528363936
u,60,1.5,3,6,0.215346139873458,437466.528221212
V,60,1.5,3,6,0.431831495778781,437466.528221212
W,60,1.5,3,6,0.350012084342392,437466.528221212
u,60,1.5,3,7,0.215343514114974,437466.528211517
V,60,1.5,3,7,0.431842320738301,437466.528211517
W,60,1.5,3,7,0.349999919043731,437466.528211517
u,60,1.5,3,8,0.215342809297512,437466.528210836
V,60,1.5,3,8,0.431845332013041,437466.528210836
W,60,1.5,3,8,0.349996668176694,437466.528210836
u,60,1.5,3,9,0.215342619847449,437466.52821079
V,60,1.5,3,9,0.43184615889853,437466.52821079
W,60,1.5,3,9,0.349995793329453,437466.52821079
u,60,1.5,3,10,0.215342568823785,437466.528210787
V,60,1.5,3,10,0.431846383928293,437466.528210787
W,60,1.5,3,10,0.349995556396038,437466.528210787
u,60,1.5,4,0,0.331464198538456,NaN
u,60,1.5,4,1,0.20454611765315,439950.936738794
V,60,1.5,4,1,0.383115371570017,439950.936738794
W,60,1.5,4,1,0.291096032344978,439950.936738794
u,60,1.5,4,2,0.201181432115504,439929.947760272
V,60,1.5,4,2,0.355322114563184,439929.947760272
W,60,1.5,4,2,0.275741426865412,439929.947760272
u,60,1.5,4,3,0.200993909986547,439929.543016011
V,60,1.5,4,3,0.353606658237839,439929.543016011
W,60,1.5,4,3,0.274862228340613,439929.543016011
u,60,1.5,4,4,0.200977786780893,439929.526449503
V,60,1.5,4,4,0.353472374927487,439929.526449503
W,60,1.5,4,4,0.274701870181518,439929.526449503
u,60,1.5,4,5,0.200976247185431,439929.525550974
V,60,1.5,4,5,0.353474816967699,439929.525550974
W,60,1.5,4,5,0.274656251935547,439929.525550974
u,60,1.5,4,6,0.200976175005832,439929.525495595
V,60,1.5,4,6,0.353481876565361,439929.525495595
W,60,1.5,4,6,0.274642270611766,439929.525495595
u,60,1.5,4,7,0.200976220719352,439929.525491924
V,60,1.5,4,7,0.353485062280223,439929.525491924
W,60,1.5,4,7,0.274637994150438,439929.525491924
u,60,1.5,4,8,0.200976250076982,439929.525491667
V,60,1.5,4,8,0.353486204878909,439929.525491667
W,60,1.5,4,8,0.274636701344239,439929.525491667
u,60,1.5,4,9,0.200976263035316,439929.525491647
V,60,1.5,4,9,0.353486579520296,439929.525491647
W,60,1.5,4,9,0.27463631462721,439929.525491647
u,60,1.5,4,10,0.200976268061988,439929.525491647
V,60,1.5,4,10,0.353486696856234,439929.525491647
W,60,1.5,4,10,0.274636199890003,439929.525491647
u,60,1.5,5,0,0.33328221291862,NaN
u,60,1.5,5,1,0.217885516207897,438472.309954594
V,60,1.5,5,1,0.337556371387051,438472.309954594
W,60,1.5,5,1,0.319596159929772,438472.309954594
u,60,1.5,5,2,0.214041272291501,438446.960429775
V,60,1.5,5,2,0.341020071873052,438446.960429775
W,60,1.5,5,2,0.307121152478098,438446.960429775
u,60,1.5,5,3,0.213489706919907,438446.295217728
V,60,1.5,5,3,0.342893447242053,438446.295217728
W,60,1.5,5,3,0.30607778328432,438446.295217728
u,60,1.5,5,4,0.213364697184196,438446.264438908
V,60,1.5,5,4,0.343370789190624,438446.264438908
W,60,1.5,5,4,0.305840499088429,438446.264438908
u,60,1.5,5,5,0.213333215636575,438446.262797548
V,60,1.5,5,5,0.343483328721931,438446.262797548
W,60,1.5,5,5,0.305777535504675,438446.262797548
u,60,1.5,5,6,0.213325012554919,438446.262703214
V,60,1.5,5,6,0.343509650779353,438446.262703214
W,60,1.5,5,6,0.305760684299593,438446.262703214
u,60,1.5,5,7,0.21332284025863,438446.262697485
V,60,1.5,5,7,0.343515830630195,438446.262697485
W,60,1.5,5,7,0.305756218539753,438446.262697485
u,60,1.5,5,8,0.213322259407766,438446.262697119
V,60,1.5,5,8,0.343517287889097,438446.262697119
W,60,1.5,5,8,0.305755046441795,438446.262697119
u,60,1.5,5,9,0.213322103095902,438446.262697094
V,60,1.5,5,9,0.343517632490024,438446.262697094
W,60,1.5,5,9,0.30575474098983,438446.262697094
u,60,1.5,5,10,0.213322060845211,438446.262697093
V,60,1.5,5,10,0.343517714053823,438446.262697093
W,60,1.5,5,10,0.305754661781904,438446.262697093
u,60,1.5,6,0,0.33987231262119,NaN
