factor,dim,SNR,seed,iteration,stat_err,optim_loss
W,60,1.5,7,9,0.243021200382908,438091.725423676
u,60,1.5,7,10,0.237730555977428,438091.725423081
V,60,1.5,7,10,0.328838849347545,438091.725423081
W,60,1.5,7,10,0.243021210132043,438091.725423081
u,60,1.5,8,0,0.333062836240203,NaN
u,60,1.5,8,1,0.233273362922603,438601.723499078
V,60,1.5,8,1,0.333127107686579,438601.723499078
W,60,1.5,8,1,0.25225316702578,438601.723499078
u,60,1.5,8,2,0.232664920428385,438580.874375233
V,60,1.5,8,2,0.323124899254474,438580.874375233
W,60,1.5,8,2,0.242692606455847,438580.874375233
u,60,1.5,8,3,0.233138786283466,438580.228200978
V,60,1.5,8,3,0.322194016912343,438580.228200978
W,60,1.5,8,3,0.243819118982001,438580.228200978
u,60,1.5,8,4,0.233297951605291,438580.207518192
V,60,1.5,8,4,0.322071628094124,438580.207518192
W,60,1.5,8,4,0.244222912257874,438580.207518192
u,60,1.5,8,5,0.233343768672323,438580.208948176
V,60,1.5,8,5,0.322052301674725,438580.208948176
W,60,1.5,8,5,0.244329342675879,438580.208948176
u,60,1.5,8,6,0.233356636789733,438580.20967742
V,60,1.5,8,6,0.322049211806309,438580.20967742
W,60,1.5,8,6,0.244355930854275,438580.20967742
u,60,1.5,8,7,0.233360240396695,438580.209887693
V,60,1.5,8,7,0.322048839671879,438580.209887693
W,60,1.5,8,7,0.244362444048467,438580.209887693
u,60,1.5,8,8,0.233361251062971,438580.209944473
V,60,1.5,8,8,0.322048857102361,438580.209944473
W,60,1.5,8,8,0.244364019877913,438580.209944473
u,60,1.5,8,9,0.233361535160576,438580.209959792
V,60,1.5,8,9,0.322048893604145,438580.209959792
W,60,1.5,8,9,0.244364396753043,438580.209959792
u,60,1.5,8,10,0.233361615206358,438580.209963963
V,60,1.5,8,10,0.322048912212793,438580.209963963
W,60,1.5,8,10,0.244364485689863,438580.209963963
u,60,1.5,9,0,0.346923472701665,NaN
u,60,1.5,9,1,0.211484569495328,439764.130656412
V,60,1.5,9,1,0.296862272780056,439764.130656412
W,60,1.5,9,1,0.251299584368753,439764.130656412
u,60,1.5,9,2,0.21049051314263,439738.837786919
V,60,1.5,9,2,0.278730930000485,439738.837786919
W,60,1.5,9,2,0.240698067889344,439738.837786919
u,60,1.5,9,3,0.211076457105851,439738.199034324
V,60,1.5,9,3,0.279037953259136,439738.199034324
W,60,1.5,9,3,0.240878318942118,439738.199034324
u,60,1.5,9,4,0.211245996990339,439738.199550619
V,60,1.5,9,4,0.279419356991593,439738.199550619
W,60,1.5,9,4,0.241092202024322,439738.199550619
u,60,1.5,9,5,0.211288002945835,439738.206606731
V,60,1.5,9,5,0.279555473902357,439738.206606731
W,60,1.5,9,5,0.241167935143439,439738.206606731
u,60,1.5,9,6,0.211298187984003,439738.208825959
V,60,1.5,9,6,0.279598545518446,439738.208825959
W,60,1.5,9,6,0.241191619877309,439738.208825959
u,60,1.5,9,7,0.211300653951641,439738.209444148
V,60,1.5,9,7,0.279611765231418,439738.209444148
W,60,1.5,9,7,0.241198757485955,439738.209444148
u,60,1.5,9,8,0.211301249684475,439738.209614898
V,60,1.5,9,8,0.279615787726966,439738.209614898
W,60,1.5,9,8,0.241200880292871,439738.209614898
u,60,1.5,9,9,0.211301392003794,439738.209662488
V,60,1.5,9,9,0.279617010385423,439738.209662488
W,60,1.5,9,9,0.241201509406969,439738.209662488
u,60,1.5,9,10,0.211301425090651,439738.209675887
V,60,1.5,9,10,0.279617382722924,439738.209675887
W,60,1.5,9,10,0.241201696013799,439738.209675887
u,60,1.5,10,0,0.352366743083968,NaN
u,60,1.5,10,1,0.231098557259991,437990.612232139
V,60,1.5,10,1,0.301897838258611,437990.612232139
W,60,1.5,10,1,0.255458163293456,437990.612232139
u,60,1.5,10,2,0.224731900551778,437972.823559902
V,60,1.5,10,2,0.292322473952462,437972.823559902
W,60,1.5,10,2,0.242247105559524,437972.823559902
u,60,1.5,10,3,0.223853386237449,437972.396034505
V,60,1.5,10,3,0.292219965001231,437972.396034505
W,60,1.5,10,3,0.241360311018597,437972.396034505
u,60,1.5,10,4,0.223688073794066,437972.388284803
V,60,1.5,10,4,0.292247171374595,437972.388284803
W,60,1.5,10,4,0.241257127450883,437972.388284803
u,60,1.5,10,5,0.223654160840002,437972.390597644
V,60,1.5,10,5,0.292262938441762,437972.390597644
W,60,1.5,10,5,0.241239550859685,437972.390597644
u,60,1.5,10,6,0.223646970969946,437972.391423439
V,60,1.5,10,6,0.292268946554577,437972.391423439
W,60,1.5,10,6,0.241235662439605,437972.391423439
u,60,1.5,10,7,0.223645418913206,437972.391649039
V,60,1.5,10,7,0.292270952138013,437972.391649039
W,60,1.5,10,7,0.241234694132558,437972.391649039
u,60,1.5,10,8,0.223645079482706,437972.391707499
V,60,1.5,10,8,0.292271579730492,437972.391707499
W,60,1.5,10,8,0.241234443064956,437972.391707499
u,60,1.5,10,9,0.223645004435842,437972.39172241
V,60,1.5,10,9,0.292271768959793,437972.39172241
W,60,1.5,10,9,0.241234377123498,437972.39172241
u,60,1.5,10,10,0.223644987677067,437972.391726188
V,60,1.5,10,10,0.292271824703953,437972.391726188
W,60,1.5,10,10,0.241234359701806,437972.391726188
u,60,1.5,11,0,0.359153842835511,NaN
u,60,1.5,11,1,0.251754064552366,438045.125662181
V,60,1.5,11,1,0.312991418407696,438045.125662181
W,60,1.5,11,1,0.244335378594647,438045.125662181
u,60,1.5,11,2,0.249964313677353,438026.897849558
V,60,1.5,11,2,0.301621658704197,438026.897849558
W,60,1.5,11,2,0.233528720145236,438026.897849558
u,60,1.5,11,3,0.250297786207157,438026.3200418
V,60,1.5,11,3,0.301535952807339,438026.3200418
W,60,1.5,11,3,0.233324019032056,438026.3200418
u,60,1.5,11,4,0.250419359308525,438026.286835776
V,60,1.5,11,4,0.301663080776579,438026.286835776
W,60,1.5,11,4,0.23343666102558,438026.286835776
u,60,1.5,11,5,0.250450490502261,438026.283526523
V,60,1.5,11,5,0.301713156776083,438026.283526523
W,60,1.5,11,5,0.23348117178271,438026.283526523
u,60,1.5,11,6,0.250457796549256,438026.282949832
