q,N,seed,method,factor name,RI,ARI
50,40,1,G-JisstPCA2 (BIC),networkY2,1,1
50,40,1,iHOSVD,sample,1,1
50,40,1,iHOSVD,networkX1,0.756962025316456,0.468132854578097
50,40,1,iHOSVD,networkY1,1,1
50,40,1,iHOSVD,networkX2,0.574683544303797,0.153139356814701
50,40,1,iHOSVD,networkY2,0.529795918367347,0.0597014925373134
50,40,1,iHOOI,sample,1,1
50,40,1,iHOOI,networkX1,0.756962025316456,0.468132854578097
50,40,1,iHOOI,networkY1,1,1
50,40,1,iHOOI,networkX2,0.574683544303797,0.153139356814701
50,40,1,iHOOI,networkY2,0.627755102040816,0.2552
80,20,1,JisstPCA0 (oracle),sample,0.605263157894737,0.129930394431554
80,20,1,JisstPCA0 (oracle),networkX1,1,1
80,20,1,JisstPCA0 (oracle),networkY1,1,1
80,20,1,JisstPCA0 (oracle),networkX2,0.505063291139241,0.0100948596333804
80,20,1,JisstPCA0 (oracle),networkY2,0.501582278481013,-0.000450272977992956
80,20,1,JisstPCA0 (BIC),sample,1,1
80,20,1,JisstPCA0 (BIC),networkX1,1,1
80,20,1,JisstPCA0 (BIC),networkY1,1,1
80,20,1,JisstPCA0 (BIC),networkX2,0.505063291139241,0.0100948596333804
80,20,1,JisstPCA0 (BIC),networkY2,0.49873417721519,-0.00793226324030699
80,20,1,G-JisstPCA0 (oracle),sample,0.521052631578947,-0.0556844547563806
80,20,1,G-JisstPCA0 (oracle),networkX1,1,1
80,20,1,G-JisstPCA0 (oracle),networkY1,1,1
80,20,1,G-JisstPCA0 (oracle),networkX2,0.494936708860759,-0.0102560815358483
80,20,1,G-JisstPCA0 (oracle),networkY2,0.49873417721519,-0.00281444534911298
80,20,1,G-JisstPCA0 (BIC),sample,1,1
80,20,1,G-JisstPCA0 (BIC),networkX1,1,1
80,20,1,G-JisstPCA0 (BIC),networkY1,1,1
80,20,1,G-JisstPCA0 (BIC),networkX2,0.494936708860759,-0.0102560815358483
80,20,1,G-JisstPCA0 (BIC),networkY2,0.496518987341772,-0.00747698310785361
80,20,1,JisstPCA2 (oracle),sample,1,1
80,20,1,JisstPCA2 (oracle),networkX1,1,1
80,20,1,JisstPCA2 (oracle),networkY1,1,1
80,20,1,JisstPCA2 (oracle),networkX2,0.950632911392405,0.90125
80,20,1,JisstPCA2 (oracle),networkY2,0.759810126582279,0.519781069950938
80,20,1,JisstPCA2 (BIC),sample,1,1
80,20,1,JisstPCA2 (BIC),networkX1,1,1
80,20,1,JisstPCA2 (BIC),networkY1,1,1
80,20,1,JisstPCA2 (BIC),networkX2,0.950632911392405,0.90125
80,20,1,JisstPCA2 (BIC),networkY2,0.724367088607595,0.448918724541853
80,20,1,G-JisstPCA2 (oracle),sample,1,1
80,20,1,G-JisstPCA2 (oracle),networkX1,1,1
80,20,1,G-JisstPCA2 (oracle),networkY1,1,1
80,20,1,G-JisstPCA2 (oracle),networkX2,0.950632911392405,0.90125
80,20,1,G-JisstPCA2 (oracle),networkY2,0.501582278481013,0.00265477787877471
80,20,1,G-JisstPCA2 (BIC),sample,1,1
80,20,1,G-JisstPCA2 (BIC),networkX1,1,1
80,20,1,G-JisstPCA2 (BIC),networkY1,1,1
