q,N,seed,method,factor name,factor number,err
50,40,1,JisstPCA2 (oracle),W,2,0.303067666187436
50,40,1,JisstPCA2 (BIC),u,1,0.0903547173820343
50,40,1,JisstPCA2 (BIC),V,1,0.063020209733061
50,40,1,JisstPCA2 (BIC),W,1,0.123383800529046
50,40,1,JisstPCA2 (BIC),u,2,0.156670494634662
50,40,1,JisstPCA2 (BIC),V,2,0.160122780742171
50,40,1,JisstPCA2 (BIC),W,2,0.303067666187436
50,40,1,G-JisstPCA2 (oracle),u,1,0.0933402505359077
50,40,1,G-JisstPCA2 (oracle),V,1,0.0635425967318496
50,40,1,G-JisstPCA2 (oracle),W,1,0.123636926551013
50,40,1,G-JisstPCA2 (oracle),u,2,0.1596010690895
50,40,1,G-JisstPCA2 (oracle),V,2,0.162006335244282
50,40,1,G-JisstPCA2 (oracle),W,2,0.306049676460306
50,40,1,G-JisstPCA2 (BIC),u,1,0.0933402505359077
50,40,1,G-JisstPCA2 (BIC),V,1,0.0635425967318496
50,40,1,G-JisstPCA2 (BIC),W,1,0.123636926551013
50,40,1,G-JisstPCA2 (BIC),u,2,0.1596010690895
50,40,1,G-JisstPCA2 (BIC),V,2,0.162006335244282
50,40,1,G-JisstPCA2 (BIC),W,2,0.306049676460306
50,40,1,iHOSVD,u,1,0.142707726047899
50,40,1,iHOSVD,V,1,0.16260903613476
50,40,1,iHOSVD,W,1,0.198089315015184
50,40,1,iHOSVD,u,2,0.205298499347342
50,40,1,iHOSVD,V,2,0.780773629390952
50,40,1,iHOSVD,W,2,0.9477656766248
50,40,1,iHOOI,u,1,0.0818641772053583
50,40,1,iHOOI,V,1,0.16216491188637
50,40,1,iHOOI,W,1,0.172417751282108
50,40,1,iHOOI,u,2,0.152190349330413
50,40,1,iHOOI,V,2,0.775900839759695
50,40,1,iHOOI,W,2,0.741233497021199
80,20,1,JisstPCA0 (oracle),u,1,0.0442622955782175
80,20,1,JisstPCA0 (oracle),V,1,0.0693181174856801
80,20,1,JisstPCA0 (oracle),W,1,0.111490506010338
80,20,1,JisstPCA0 (oracle),u,2,0.958885098467136
80,20,1,JisstPCA0 (oracle),V,2,0.998430834572919
80,20,1,JisstPCA0 (oracle),W,2,0.958328286126605
80,20,1,JisstPCA0 (BIC),u,1,0.0442622955782175
80,20,1,JisstPCA0 (BIC),V,1,0.0693181174856801
80,20,1,JisstPCA0 (BIC),W,1,0.111490506010338
80,20,1,JisstPCA0 (BIC),u,2,0.958885098467136
80,20,1,JisstPCA0 (BIC),V,2,0.998430834572919
80,20,1,JisstPCA0 (BIC),W,2,0.958328286126605
80,20,1,G-JisstPCA0 (oracle),u,1,0.0440363095180938
80,20,1,G-JisstPCA0 (oracle),V,1,0.06921520335734
80,20,1,G-JisstPCA0 (oracle),W,1,0.111486601666771
80,20,1,G-JisstPCA0 (oracle),u,2,0.991128067348646
80,20,1,G-JisstPCA0 (oracle),V,2,0.99485153804402
80,20,1,G-JisstPCA0 (oracle),W,2,0.987339133403894
80,20,1,G-JisstPCA0 (BIC),u,1,0.0440363095180938
80,20,1,G-JisstPCA0 (BIC),V,1,0.06921520335734
80,20,1,G-JisstPCA0 (BIC),W,1,0.111486601666771
80,20,1,G-JisstPCA0 (BIC),u,2,0.991128067348646
80,20,1,G-JisstPCA0 (BIC),V,2,0.99485153804402
80,20,1,G-JisstPCA0 (BIC),W,2,0.987339133403894
80,20,1,JisstPCA2 (oracle),u,1,0.0442622955782175
80,20,1,JisstPCA2 (oracle),V,1,0.0693181174856801
80,20,1,JisstPCA2 (oracle),W,1,0.111490506010338
80,20,1,JisstPCA2 (oracle),u,2,0.350216860905093
80,20,1,JisstPCA2 (oracle),V,2,0.400515983689269
80,20,1,JisstPCA2 (oracle),W,2,0.662732020612666
80,20,1,JisstPCA2 (BIC),u,1,0.0442622955782175
80,20,1,JisstPCA2 (BIC),V,1,0.0693181174856801
80,20,1,JisstPCA2 (BIC),W,1,0.111490506010338
80,20,1,JisstPCA2 (BIC),u,2,0.350216860905093
