method,FactorNumber,RowInd,Val
truth,1,1,-0.00587002170766425
truth,1,2,0.120801794454379
truth,1,3,0.0408554200899203
truth,1,4,0.124915672557519
truth,1,5,0.125888546747469
truth,1,6,0.0119361860236968
truth,1,7,0.0474286390517713
truth,1,8,0.110710229225531
truth,1,9,0.0306799131923487
truth,1,10,0.0389976433915251
truth,1,11,0.113531027294035
truth,1,12,0.0373170901259926
truth,1,13,0.0589017184348216
truth,1,14,0.0375270942690088
truth,1,15,-0.00195235555192429
truth,1,16,0.124725104617748
truth,1,17,0.0049635997400991
truth,1,18,-0.00219086832529077
truth,1,19,0.0408680940672365
truth,1,20,0.120298280339764
truth,1,21,0.133114139303926
truth,1,22,0.0353882180224224
truth,1,23,0.0352121392988378
truth,1,24,0.117427261781635
truth,1,25,0.0570335576805821
truth,1,26,0.121101814624287
truth,1,27,0.0465263844372067
truth,1,28,0.052057941030167
truth,1,29,-0.00321245095163545
truth,1,30,0.00702051948346697
truth,1,31,0.127133270673355
truth,1,32,0.122133577544305
truth,1,33,0.0365429602753622
truth,1,34,0.118033591937956
truth,1,35,-0.00361220754509737
truth,1,36,0.0475676810383745
truth,1,37,0.137861901608353
truth,1,38,-0.0110621643004109
truth,1,39,0.0413747606351982
truth,1,40,0.00311832084197852
truth,1,41,0.00515760157301163
truth,1,42,0.0365893808041273
truth,1,43,0.0422782860682967
truth,1,44,0.0625622368175653
truth,1,45,0.00675624205201491
truth,1,46,0.0199695678139119
truth,1,47,-0.00823630424256114
truth,1,48,0.0325970180732869
truth,1,49,-0.00359969698283854
truth,1,50,0.117546884193272
truth,1,51,-0.000607786373498733
truth,1,52,0.0475646376019449
truth,1,53,0.120525400348735
truth,1,54,0.00442394957865929
truth,1,55,0.0375934181984667
truth,1,56,-0.00157422217193924
truth,1,57,0.00588899962934358
truth,1,58,0.118613054819615
truth,1,59,0.135762848116443
truth,1,60,0.0193275719151727
truth,1,61,0.038435128690599
truth,1,62,0.00612198615781589
truth,1,63,0.0393367841337761
truth,1,64,0.00308210190969107
truth,1,65,0.131502254266924
truth,1,66,0.052916056817807
truth,1,67,0.126952214889714
truth,1,68,0.111473470723567
truth,1,69,0.123139016967234
truth,1,70,0.0352429471490151
truth,1,71,0.118172586550928
truth,1,72,0.042463875646452
truth,1,73,0.140021953041859
truth,1,74,-0.0050284499462806
truth,1,75,0.04845493292172
truth,1,76,0.00698136319593784
truth,1,77,0.0369605908191794
truth,1,78,0.0535769294180006
truth,1,79,0.0419714407218263
truth,1,80,-0.0036751910827236
truth,1,81,-0.0026145141527042
truth,1,82,0.0348404070475247
truth,1,83,0.0389526098304975
truth,1,84,0.132818030855152
truth,1,85,0.00653087874341121
truth,1,86,0.0312536106976274
truth,1,87,0.113838647512055
truth,1,88,0.116711417375654
truth,1,89,0.118337163137787
truth,1,90,-0.0111866040452811
truth,1,91,-0.00689281782839919
truth,1,92,0.0385832639700463
truth,1,93,0.0293265003291025
truth,1,94,0.0423120156227807
truth,1,95,0.0415750196842853
truth,1,96,-0.00428003943747456
truth,1,97,0.116890158717828
truth,1,98,-0.00601030075413063
truth,1,99,0.0241401646427138
truth,1,100,0.0616252428135685
truth,1,101,0.0285859945805035
truth,1,102,0.0338430807625653
truth,1,103,0.040598012683655
truth,1,104,0.115336322821298
truth,1,105,0.0433822972037976
truth,1,106,0.107883367846403
truth,1,107,0.123321677314992
truth,1,108,0.046804528252073
truth,1,109,0.0444101673988775
truth,1,110,-0.00153789759469412
truth,1,111,0.129038211035737
truth,1,112,0.03945568977847
truth,1,113,0.00377996554857018
truth,1,114,0.130664619685469
truth,1,115,0.130532248997787
truth,1,116,0.00325884702835728
truth,1,117,0.0376298046982759
truth,1,118,0.126226400263251
truth,1,119,0.0400065548460907
truth,1,120,0.0481025555206052
truth,1,121,0.047448052856249
truth,1,122,0.0260065271185451
truth,1,123,0.0538451405777172
truth,1,124,0.000464497941083231
truth,1,125,0.0410995338153332
truth,1,126,0.132342442499643
truth,1,127,-0.0120543336288621
truth,1,128,-0.0114811698892251
truth,1,129,-0.00435648640247832
truth,1,130,0.0574331450135119
truth,1,131,0.0332830278117217
truth,1,132,0.117625703345542
truth,1,133,0.0564234961624982
truth,1,134,0.115564041215899
truth,1,135,0.0361537818239436
truth,1,136,0.0315205948741781
truth,1,137,0.1273542449448
truth,1,138,0.129439722580579
truth,1,139,0.125503218888976
truth,1,140,0.0365599022028181
truth,1,141,0.0383400832333882
truth,1,142,0.0578955345509227
truth,1,143,0.00129029972176583
truth,1,144,-0.0117424836172084
truth,1,145,0.10866981562741
truth,1,146,0.000452282688121664
truth,1,147,-0.00660630757496944
truth,1,148,-0.00252406651195007
truth,1,149,-0.00874703267546844
truth,1,150,0.132789141893662
truth,1,151,0.123795000928081
truth,1,152,0.0612794144837701
truth,1,153,0.045190089649786
truth,1,154,0.00235979947422916
truth,1,155,-0.0136213555213802
truth,1,156,0.0437944818373597
truth,1,157,0.0448537901200963
truth,1,158,-0.000734824800452264
truth,1,159,0.0417753023300915
truth,1,160,0.00956770379329794
truth,1,161,0.0362494639357756
truth,1,162,0.0450971733032924
truth,1,163,0.0365021938012169
truth,1,164,0.035278391532273
truth,1,165,0.0328564191884354
truth,1,166,0.0216702365447626
truth,1,167,0.127943637031744
truth,1,168,-0.00773878063918098
truth,1,169,0.0426467212840637
truth,1,170,0.00873937820974567
truth,1,171,0.0294420229236342
truth,1,172,-0.000413453174141721
truth,1,173,0.115490751982541
truth,1,174,0.12097771136168
truth,1,175,0.0351447864103519
truth,1,176,0.0333999051052787
truth,1,177,0.0436140476507069
truth,1,178,0.0403624573138898
truth,1,179,0.127126067530319
truth,1,180,0.0476646269562077
truth,1,181,0.123583559434313
truth,1,182,0.0387775095022686
truth,1,183,0.116807651516931
truth,1,184,-0.00666388929626418
truth,1,185,0.0503761338355957
truth,1,186,0.0377846403013276
truth,1,187,-0.0179645847015934
truth,1,188,0.036046353392097
truth,1,189,0.116899231605394
truth,1,190,0.121377854458204
truth,1,191,-0.00599973610015332
truth,1,192,0.0458489984934015
truth,1,193,0.13461365129535
truth,1,194,0.0419260213226286
truth,1,195,0.127463736607602
truth,1,196,0.0463721105970115
truth,1,197,0.0491082971718083
truth,1,198,0.0221963451993199
truth,1,199,-0.0164558900809408
truth,1,200,0.0422691540769143
truth,2,1,0.00160344177234042
truth,2,2,-0.0459360385640208
truth,2,3,0.0951314981941095
truth,2,4,-0.0563395975252811
truth,2,5,-0.0555397833045354
truth,2,6,-0.0127210047094738
truth,2,7,0.0950696744011195
truth,2,8,-0.037503791247672
truth,2,9,0.104856328799374
truth,2,10,0.103860335530952
truth,2,11,-0.0429384059640067
truth,2,12,0.0951633135044765
truth,2,13,0.0806815784325936
truth,2,14,0.0938768483975083
truth,2,15,0.00221168493283531
truth,2,16,-0.0373145233980348
truth,2,17,-0.013750090617868
truth,2,18,-0.00230485108070675
truth,2,19,0.104562225111116
truth,2,20,-0.061405859247789
truth,2,21,-0.0599996614315631
truth,2,22,0.114833190621352
truth,2,23,0.097054347257781
truth,2,24,-0.0579624442971559
truth,2,25,0.076232439098103
truth,2,26,-0.0520024280342678
truth,2,27,0.0855180547572775
truth,2,28,0.0845136346341818
truth,2,29,0.0105351912528756
truth,2,30,-0.00477555844428106
truth,2,31,-0.0547767985342514
truth,2,32,-0.0432219791554598
truth,2,33,0.113203987390204
truth,2,34,-0.0577184466312659
truth,2,35,0.00455449677792929
truth,2,36,0.0861335910782401
truth,2,37,-0.0539467418448491
truth,2,38,0.0142374862063784
truth,2,39,0.0878009575687011
truth,2,40,-0.00408077073370043
truth,2,41,-0.00349789278290711
truth,2,42,0.106030878186949
truth,2,43,0.0965986797334495
truth,2,44,0.0798429764718723
truth,2,45,-0.0131176360685921
truth,2,46,-0.00844537791149216
truth,2,47,-0.00866387605451427
truth,2,48,0.104420870377378
truth,2,49,-0.0153081704774475
truth,2,50,-0.0514963811695458
truth,2,51,0.000225868745838289
truth,2,52,0.0932093790975063
truth,2,53,-0.0472120604587611
truth,2,54,-0.0010031844965025
truth,2,55,0.110441499836585
truth,2,56,-0.00721446665719669
truth,2,57,0.00582300501519848
truth,2,58,-0.041945645932218
truth,2,59,-0.0565457728234218
truth,2,60,0.112737409589989
truth,2,61,0.0869522937756696
truth,2,62,0.00471641127150132
truth,2,63,0.109760174317128
truth,2,64,0.000260474784190539
truth,2,65,-0.0624521037350442
truth,2,66,0.0776544278911708
truth,2,67,-0.0640858617144852
truth,2,68,-0.0612033552072618
truth,2,69,-0.0511049036271814
truth,2,70,0.0898526443962636
truth,2,71,-0.0443989258180033
truth,2,72,0.0980807859585452
truth,2,73,-0.0628071790349002
truth,2,74,-5.89629228278332e-05
truth,2,75,0.108761369558231
truth,2,76,-0.00327697481760927
truth,2,77,0.0902559666483116
truth,2,78,0.0889262447859558
truth,2,79,0.0868381722246948
truth,2,80,0.00343156611011905
truth,2,81,0.00618889731606261
truth,2,82,0.0753321941118851
truth,2,83,0.094644496158887
truth,2,84,-0.0729743023051939
truth,2,85,-0.0168536655995351
truth,2,86,0.110637836936067
truth,2,87,-0.0430061008273802
truth,2,88,-0.0567934654252628
truth,2,89,-0.0465347082358613
truth,2,90,0.0181507067772823
truth,2,91,0.010577738036336
truth,2,92,0.0797528164726043
truth,2,93,0.11166194590452
truth,2,94,0.109599205215466
truth,2,95,0.0984538124564963
truth,2,96,-0.00131765601254928
truth,2,97,-0.0397925558487504
truth,2,98,0.00114962264923706
truth,2,99,0.117086834596738
truth,2,100,0.0817936830096464
truth,2,101,0.0922500115276419
truth,2,102,0.108529990357678
truth,2,103,0.101434851887929
truth,2,104,-0.0596383870343498
truth,2,105,0.086162519094148
truth,2,106,-0.0366950360723322
truth,2,107,-0.0446713810765132
truth,2,108,0.112221630170668
truth,2,109,0.0957969996277996
truth,2,110,-0.00050489758130253
truth,2,111,-0.0492562135535819
truth,2,112,0.0813486764665958
truth,2,113,0.0128254555945109
truth,2,114,-0.0684745740772587
truth,2,115,-0.0639917268472985
truth,2,116,0.000286324123846278
truth,2,117,0.0997122494060861
truth,2,118,-0.037093604754602
truth,2,119,0.0942483169438248
truth,2,120,0.0809510766160946
truth,2,121,0.0869322205263876
truth,2,122,0.11450109392736
truth,2,123,0.0695838099407226
truth,2,124,0.0221368110706233
truth,2,125,0.10759360860205
truth,2,126,-0.0649631319151067
truth,2,127,0.022875061130242
truth,2,128,0.0302208619943207
truth,2,129,0.00455428777640083
truth,2,130,0.0919373067364416
truth,2,131,0.104605735321575
truth,2,132,-0.0438777492156377
truth,2,133,0.0842907362706669
truth,2,134,-0.0332685906937787
truth,2,135,0.100387057514238
truth,2,136,0.106368165495349
