"diagonal","SNR","seed","method","factor.name","factor.number","err"
0,4,1,"JisstPCA1 (oracle)","V",1,0.175585542993027
0,4,1,"JisstPCA1 (oracle)","W",1,0.126321634942278
0,4,1,"JisstPCA1 (oracle)","u",2,0.233938753303236
0,4,1,"JisstPCA1 (oracle)","V",2,0.41107197715987
0,4,1,"JisstPCA1 (oracle)","W",2,0.389768347273141
0,4,1,"iHOSVD","u",1,0.0809054037678539
0,4,1,"iHOSVD","V",1,0.257598800844711
0,4,1,"iHOSVD","W",1,0.176182302709928
0,4,1,"iHOSVD","u",2,0.362926445869689
0,4,1,"iHOSVD","V",2,0.824088404460149
0,4,1,"iHOSVD","W",2,0.886896918705268
0,4,1,"iHOOI","u",1,0.06504054820631
0,4,1,"iHOOI","V",1,0.181805133011921
0,4,1,"iHOOI","W",1,0.128611224048792
0,4,1,"iHOOI","u",2,0.231372722398585
0,4,1,"iHOOI","V",2,0.449717197280121
0,4,1,"iHOOI","W",2,0.396132933431675
0,5,1,"JisstPCA0 (BIC)","u",1,0.0533106929433387
0,5,1,"JisstPCA0 (BIC)","V",1,0.140175472880608
0,5,1,"JisstPCA0 (BIC)","W",1,0.10032057474086
0,5,1,"JisstPCA0 (BIC)","u",2,0.147212588490947
0,5,1,"JisstPCA0 (BIC)","V",2,0.290715346267617
0,5,1,"JisstPCA0 (BIC)","W",2,0.203257697414209
0,5,1,"JisstPCA0 (BIC top)","u",1,0.0533106929433387
0,5,1,"JisstPCA0 (BIC top)","V",1,0.140175472880608
0,5,1,"JisstPCA0 (BIC top)","W",1,0.10032057474086
0,5,1,"JisstPCA0 (BIC top)","u",2,0.147212588490947
0,5,1,"JisstPCA0 (BIC top)","V",2,0.290715346267617
0,5,1,"JisstPCA0 (BIC top)","W",2,0.203257697414209
0,5,1,"JisstPCA0 (oracle)","u",1,0.0533106929433387
0,5,1,"JisstPCA0 (oracle)","V",1,0.140175472880608
0,5,1,"JisstPCA0 (oracle)","W",1,0.10032057474086
0,5,1,"JisstPCA0 (oracle)","u",2,0.147212588490947
0,5,1,"JisstPCA0 (oracle)","V",2,0.290715346267617
0,5,1,"JisstPCA0 (oracle)","W",2,0.203257697414209
0,5,1,"JisstPCA1 (BIC)","u",1,0.0533106929433387
0,5,1,"JisstPCA1 (BIC)","V",1,0.140175472880608
0,5,1,"JisstPCA1 (BIC)","W",1,0.10032057474086
0,5,1,"JisstPCA1 (BIC)","u",2,0.191282255087784
0,5,1,"JisstPCA1 (BIC)","V",2,0.34228280006445
0,5,1,"JisstPCA1 (BIC)","W",2,0.342839419344658
0,5,1,"JisstPCA1 (BIC top)","u",1,0.0533106929433387
0,5,1,"JisstPCA1 (BIC top)","V",1,0.140175472880608
0,5,1,"JisstPCA1 (BIC top)","W",1,0.10032057474086
0,5,1,"JisstPCA1 (BIC top)","u",2,0.191282255087784
0,5,1,"JisstPCA1 (BIC top)","V",2,0.34228280006445
0,5,1,"JisstPCA1 (BIC top)","W",2,0.342839419344658
0,5,1,"JisstPCA1 (oracle)","u",1,0.0533106929433387
0,5,1,"JisstPCA1 (oracle)","V",1,0.140175472880608
0,5,1,"JisstPCA1 (oracle)","W",1,0.10032057474086
0,5,1,"JisstPCA1 (oracle)","u",2,0.191282255087784
0,5,1,"JisstPCA1 (oracle)","V",2,0.34228280006445
0,5,1,"JisstPCA1 (oracle)","W",2,0.342839419344658
0,5,1,"iHOSVD","u",1,0.0608251325564364
0,5,1,"iHOSVD","V",1,0.186242111611418
0,5,1,"iHOSVD","W",1,0.130342392916272
0,5,1,"iHOSVD","u",2,0.275245091506106
0,5,1,"iHOSVD","V",2,0.612993192071122
0,5,1,"iHOSVD","W",2,0.577806530743794
0,5,1,"iHOOI","u",1,0.0522588760836201
0,5,1,"iHOOI","V",1,0.147749831929854
0,5,1,"iHOOI","W",1,0.104959206979411
0,5,1,"iHOOI","u",2,0.195173702404189
0,5,1,"iHOOI","V",2,0.381732799950434
0,5,1,"iHOOI","W",2,0.365647858403945
0,6.25,1,"JisstPCA0 (BIC)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA0 (BIC)","V",1,0.112032635537019
0,6.25,1,"JisstPCA0 (BIC)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA0 (BIC)","u",2,0.113030328056751
0,6.25,1,"JisstPCA0 (BIC)","V",2,0.22896268330434
0,6.25,1,"JisstPCA0 (BIC)","W",2,0.157450660652973
0,6.25,1,"JisstPCA0 (BIC top)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA0 (BIC top)","V",1,0.112032635537019
0,6.25,1,"JisstPCA0 (BIC top)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA0 (BIC top)","u",2,0.113030328056751
0,6.25,1,"JisstPCA0 (BIC top)","V",2,0.22896268330434
0,6.25,1,"JisstPCA0 (BIC top)","W",2,0.157450660652973
0,6.25,1,"JisstPCA0 (oracle)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA0 (oracle)","V",1,0.112032635537019
0,6.25,1,"JisstPCA0 (oracle)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA0 (oracle)","u",2,0.113030328056751
0,6.25,1,"JisstPCA0 (oracle)","V",2,0.22896268330434
0,6.25,1,"JisstPCA0 (oracle)","W",2,0.157450660652973
0,6.25,1,"JisstPCA1 (BIC)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA1 (BIC)","V",1,0.112032635537019
0,6.25,1,"JisstPCA1 (BIC)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA1 (BIC)","u",2,0.163440453794998
0,6.25,1,"JisstPCA1 (BIC)","V",2,0.293086956833482
0,6.25,1,"JisstPCA1 (BIC)","W",2,0.312273381938209
0,6.25,1,"JisstPCA1 (BIC top)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA1 (BIC top)","V",1,0.112032635537019
0,6.25,1,"JisstPCA1 (BIC top)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA1 (BIC top)","u",2,0.163440453794998
0,6.25,1,"JisstPCA1 (BIC top)","V",2,0.293086956833482
0,6.25,1,"JisstPCA1 (BIC top)","W",2,0.312273381938209
0,6.25,1,"JisstPCA1 (oracle)","u",1,0.0427045664459525
0,6.25,1,"JisstPCA1 (oracle)","V",1,0.112032635537019
0,6.25,1,"JisstPCA1 (oracle)","W",1,0.0799201496858867
0,6.25,1,"JisstPCA1 (oracle)","u",2,0.163440453794998
0,6.25,1,"JisstPCA1 (oracle)","V",2,0.293086956833482
0,6.25,1,"JisstPCA1 (oracle)","W",2,0.312273381938209
0,6.25,1,"iHOSVD","u",1,0.0469349947336183
0,6.25,1,"iHOSVD","V",1,0.141711275224328
0,6.25,1,"iHOSVD","W",1,0.101537726673982
0,6.25,1,"iHOSVD","u",2,0.215405668838237
0,6.25,1,"iHOSVD","V",2,0.471259648147824
0,6.25,1,"iHOSVD","W",2,0.414155492476635
0,6.25,1,"iHOOI","u",1,0.0424461658891111
0,6.25,1,"iHOOI","V",1,0.12165423260281
0,6.25,1,"iHOOI","W",1,0.0901779704681133
0,6.25,1,"iHOOI","u",2,0.172638441545542
0,6.25,1,"iHOOI","V",2,0.335447928383797
0,6.25,1,"iHOOI","W",2,0.348105827872004
0,8.5,1,"JisstPCA0 (BIC)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA0 (BIC)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA0 (BIC)","W",1,0.0587914447216596
0,8.5,1,"JisstPCA0 (BIC)","u",2,0.0798576783451229
0,8.5,1,"JisstPCA0 (BIC)","V",2,0.165983799497055
0,8.5,1,"JisstPCA0 (BIC)","W",2,0.112538382282777
0,8.5,1,"JisstPCA0 (BIC top)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA0 (BIC top)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA0 (BIC top)","W",1,0.0587914447216596
0,8.5,1,"JisstPCA0 (BIC top)","u",2,0.0798576783451229
0,8.5,1,"JisstPCA0 (BIC top)","V",2,0.165983799497055
0,8.5,1,"JisstPCA0 (BIC top)","W",2,0.112538382282777
0,8.5,1,"JisstPCA0 (oracle)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA0 (oracle)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA0 (oracle)","W",1,0.0587914447216596
0,8.5,1,"JisstPCA0 (oracle)","u",2,0.0798576783451229
0,8.5,1,"JisstPCA0 (oracle)","V",2,0.165983799497055
0,8.5,1,"JisstPCA0 (oracle)","W",2,0.112538382282777
0,8.5,1,"JisstPCA1 (BIC)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA1 (BIC)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA1 (BIC)","W",1,0.0587914447216596
0,8.5,1,"JisstPCA1 (BIC)","u",2,0.140062794001323
0,8.5,1,"JisstPCA1 (BIC)","V",2,0.248536182472877
0,8.5,1,"JisstPCA1 (BIC)","W",2,0.286656797408754
0,8.5,1,"JisstPCA1 (BIC top)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA1 (BIC top)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA1 (BIC top)","W",1,0.0587914447216596
0,8.5,1,"JisstPCA1 (BIC top)","u",2,0.140062794001323
0,8.5,1,"JisstPCA1 (BIC top)","V",2,0.248536182472877
0,8.5,1,"JisstPCA1 (BIC top)","W",2,0.286656797408754
0,8.5,1,"JisstPCA1 (oracle)","u",1,0.0317058887389896
0,8.5,1,"JisstPCA1 (oracle)","V",1,0.0823868499847445
0,8.5,1,"JisstPCA1 (oracle)","W",1,0.0587914447216596
