method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,32,3,0
truth,V,1,33,3,0
truth,V,1,34,3,0
truth,V,1,35,3,0
truth,V,1,36,3,0
truth,V,1,37,3,0
truth,V,1,38,3,0
truth,V,1,39,3,0
truth,V,1,40,3,0
truth,V,1,41,3,0
truth,V,1,42,3,0
truth,V,1,43,3,0
truth,V,1,44,3,0
truth,V,1,45,3,0
truth,V,1,46,3,0
truth,V,1,47,3,0
truth,V,1,48,3,0
truth,V,1,49,3,0
truth,V,1,50,3,0
truth,V,1,1,4,0.00130981722129378
truth,V,1,2,4,0.0153665518756704
truth,V,1,3,4,0.0293132942786194
truth,V,1,4,4,0.00291003589872149
truth,V,1,5,4,0.0099034058560174
truth,V,1,6,4,-0.0170526501634876
truth,V,1,7,4,0.0142844772406814
truth,V,1,8,4,-0.0156588295740985
truth,V,1,9,4,0.00624181292169594
truth,V,1,10,4,0.00731825928821786
truth,V,1,11,4,-0.00511146220938556
truth,V,1,12,4,0.00645255301282246
truth,V,1,13,4,-0.0087864260851051
truth,V,1,14,4,-0.0103704094594197
truth,V,1,15,4,0.00942521119226132
truth,V,1,16,4,-0.0109178750409178
truth,V,1,17,4,-0.00931498413295315
truth,V,1,18,4,-0.0070676399611865
truth,V,1,19,4,-0.0140189737654186
truth,V,1,20,4,-0.00894557272395395
truth,V,1,21,4,0
truth,V,1,22,4,0
truth,V,1,23,4,0
truth,V,1,24,4,0
truth,V,1,25,4,0
truth,V,1,26,4,0
truth,V,1,27,4,0
truth,V,1,28,4,0
truth,V,1,29,4,0
truth,V,1,30,4,0
truth,V,1,31,4,0
truth,V,1,32,4,0
truth,V,1,33,4,0
truth,V,1,34,4,0
truth,V,1,35,4,0
truth,V,1,36,4,0
truth,V,1,37,4,0
truth,V,1,38,4,0
truth,V,1,39,4,0
truth,V,1,40,4,0
truth,V,1,41,4,0
truth,V,1,42,4,0
truth,V,1,43,4,0
truth,V,1,44,4,0
truth,V,1,45,4,0
truth,V,1,46,4,0
truth,V,1,47,4,0
truth,V,1,48,4,0
truth,V,1,49,4,0
truth,V,1,50,4,0
truth,V,1,1,5,0.00445755722304742
truth,V,1,2,5,0.0522952998274589
truth,V,1,3,5,0.0997587178720315
truth,V,1,4,5,0.0099034058560174
truth,V,1,5,5,0.0337031744495281
truth,V,1,6,5,-0.058033413114902
truth,V,1,7,5,0.0486127939581995
truth,V,1,8,5,-0.0532899764469014
truth,V,1,9,5,0.0212420770025713
truth,V,1,10,5,0.0249054288033464
truth,V,1,11,5,-0.0173952784566955
truth,V,1,12,5,0.0219592656302019
truth,V,1,13,5,-0.0299018797613197
truth,V,1,14,5,-0.0352924765687037
truth,V,1,15,5,0.0320757870226448
truth,V,1,16,5,-0.0371556061088439
truth,V,1,17,5,-0.0317006633669113
truth,V,1,18,5,-0.0240525235481075
truth,V,1,19,5,-0.0477092351145213
truth,V,1,20,5,-0.0304434860541608
truth,V,1,21,5,0
truth,V,1,22,5,0
truth,V,1,23,5,0
truth,V,1,24,5,0
truth,V,1,25,5,0
truth,V,1,26,5,0
truth,V,1,27,5,0
truth,V,1,28,5,0
truth,V,1,29,5,0
truth,V,1,30,5,0
truth,V,1,31,5,0
truth,V,1,32,5,0
truth,V,1,33,5,0
truth,V,1,34,5,0
truth,V,1,35,5,0
truth,V,1,36,5,0
truth,V,1,37,5,0
truth,V,1,38,5,0
truth,V,1,39,5,0
truth,V,1,40,5,0
truth,V,1,41,5,0
truth,V,1,42,5,0
truth,V,1,43,5,0
truth,V,1,44,5,0
truth,V,1,45,5,0
truth,V,1,46,5,0
truth,V,1,47,5,0
truth,V,1,48,5,0
truth,V,1,49,5,0
truth,V,1,50,5,0
truth,V,1,1,6,-0.00767545680884812
truth,V,1,2,6,-0.0900471480334719
truth,V,1,3,6,-0.171774290720013
truth,V,1,4,6,-0.0170526501634876
truth,V,1,5,6,-0.058033413114902
truth,V,1,6,6,0.0999275911771579
truth,V,1,7,6,-0.0837062502427069
truth,V,1,8,6,0.0917598792558167
truth,V,1,9,6,-0.0365766800974452
truth,V,1,10,6,-0.0428845965448404
truth,V,1,11,6,0.0299528871512666
truth,V,1,12,6,-0.0378116054298031
truth,V,1,13,6,0.0514879731492203
truth,V,1,14,6,0.0607700285214011
truth,V,1,15,6,-0.0552312187108187
truth,V,1,16,6,0.0639781466899568
truth,V,1,17,6,0.0545852942114824
truth,V,1,18,6,0.041415981085508
truth,V,1,19,6,0.0821504144941389
truth,V,1,20,6,0.0524205636915489
truth,V,1,21,6,0
truth,V,1,22,6,0
truth,V,1,23,6,0
