diagonal,SNR,seed,method,factor name,factor number,err
0,5,1,JisstPCA0 (BIC),V,2,0.131219428956155
0,5,1,JisstPCA0 (BIC),W,2,0.136558598801032
0,5,1,JisstPCA0 (BIC top),u,1,0.076753145738169
0,5,1,JisstPCA0 (BIC top),V,1,0.0811898132431606
0,5,1,JisstPCA0 (BIC top),W,1,0.0785594628364087
0,5,1,JisstPCA0 (BIC top),u,2,0.178679676637601
0,5,1,JisstPCA0 (BIC top),V,2,0.131219428956155
0,5,1,JisstPCA0 (BIC top),W,2,0.136558598801032
0,5,1,JisstPCA0 (oracle),u,1,0.076753145738169
0,5,1,JisstPCA0 (oracle),V,1,0.0811898132431606
0,5,1,JisstPCA0 (oracle),W,1,0.0785594628364087
0,5,1,JisstPCA0 (oracle),u,2,0.178679676637601
0,5,1,JisstPCA0 (oracle),V,2,0.131219428956155
0,5,1,JisstPCA0 (oracle),W,2,0.136558598801032
0,5,1,G-JisstPCA0 (BIC),u,1,0.0767841223128905
0,5,1,G-JisstPCA0 (BIC),V,1,0.0811911107687432
0,5,1,G-JisstPCA0 (BIC),W,1,0.0785741186316058
0,5,1,G-JisstPCA0 (BIC),u,2,0.179156233910019
0,5,1,G-JisstPCA0 (BIC),V,2,0.131178229355966
0,5,1,G-JisstPCA0 (BIC),W,2,0.136433981895332
0,5,1,G-JisstPCA0 (BIC top),u,1,0.0767841223128905
0,5,1,G-JisstPCA0 (BIC top),V,1,0.0811911107687432
0,5,1,G-JisstPCA0 (BIC top),W,1,0.0785741186316058
0,5,1,G-JisstPCA0 (BIC top),u,2,0.179156233910019
0,5,1,G-JisstPCA0 (BIC top),V,2,0.131178229355966
0,5,1,G-JisstPCA0 (BIC top),W,2,0.136433981895332
0,5,1,G-JisstPCA0 (oracle),u,1,0.0767841223128905
0,5,1,G-JisstPCA0 (oracle),V,1,0.0811911107687432
0,5,1,G-JisstPCA0 (oracle),W,1,0.0785741186316058
0,5,1,G-JisstPCA0 (oracle),u,2,0.179156233910019
0,5,1,G-JisstPCA0 (oracle),V,2,0.131178229355966
0,5,1,G-JisstPCA0 (oracle),W,2,0.136433981895332
0,5,1,JisstPCA1 (BIC),u,1,0.076753145738169
0,5,1,JisstPCA1 (BIC),V,1,0.0811898132431606
0,5,1,JisstPCA1 (BIC),W,1,0.0785594628364087
0,5,1,JisstPCA1 (BIC),u,2,0.187789022012626
0,5,1,JisstPCA1 (BIC),V,2,0.447638457011877
0,5,1,JisstPCA1 (BIC),W,2,0.185100257194053
0,5,1,JisstPCA1 (BIC top),u,1,0.076753145738169
0,5,1,JisstPCA1 (BIC top),V,1,0.0811898132431606
0,5,1,JisstPCA1 (BIC top),W,1,0.0785594628364087
0,5,1,JisstPCA1 (BIC top),u,2,0.187789022012626
0,5,1,JisstPCA1 (BIC top),V,2,0.447638457011877
0,5,1,JisstPCA1 (BIC top),W,2,0.185100257194053
0,5,1,JisstPCA1 (oracle),u,1,0.076753145738169
0,5,1,JisstPCA1 (oracle),V,1,0.0811898132431606
0,5,1,JisstPCA1 (oracle),W,1,0.0785594628364087
0,5,1,JisstPCA1 (oracle),u,2,0.187789022012626
0,5,1,JisstPCA1 (oracle),V,2,0.447638457011877
0,5,1,JisstPCA1 (oracle),W,2,0.185100257194053
0,5,1,G-JisstPCA1 (BIC),u,1,0.0767841223128905
0,5,1,G-JisstPCA1 (BIC),V,1,0.0811911107687432
0,5,1,G-JisstPCA1 (BIC),W,1,0.0785741186316058
0,5,1,G-JisstPCA1 (BIC),u,2,0.188062847113862
0,5,1,G-JisstPCA1 (BIC),V,2,0.447656153186729
0,5,1,G-JisstPCA1 (BIC),W,2,0.18498400118232
0,5,1,G-JisstPCA1 (BIC top),u,1,0.0767841223128905
0,5,1,G-JisstPCA1 (BIC top),V,1,0.0811911107687432
0,5,1,G-JisstPCA1 (BIC top),W,1,0.0785741186316058
0,5,1,G-JisstPCA1 (BIC top),u,2,0.188062847113862
0,5,1,G-JisstPCA1 (BIC top),V,2,0.447656153186729
0,5,1,G-JisstPCA1 (BIC top),W,2,0.18498400118232
0,5,1,G-JisstPCA1 (oracle),u,1,0.0767841223128905
0,5,1,G-JisstPCA1 (oracle),V,1,0.0811911107687432
0,5,1,G-JisstPCA1 (oracle),W,1,0.0785741186316058
